company,contact_name,status,industry,address,city,state,zip,company_size,phone,products
Topicware,Amelita Lankford,re-engage,Business Development,808 Shoshone Place,Dallas,TX,75231,206,469-142-7116,ink
Dynazzy,Andi Ogan,stale,Marketing,2778 Vidon Alley,Denver,CO,80262,441,303-518-6352,toner
Gigabox,Bill Fenix,re-engage,Accounting,739 Brickson Park Junction,Roanoke,VA,24048,350,540-665-0585,toner
Plambee,Joey Rozea,closed,Marketing,2009 Mosinee Court,Hot Springs National Park,AR,71914,331,501-559-2896,paper
Mynte,Bendix Olech,discovery,Services,9285 Steensland Hill,Oklahoma City,OK,73190,88,405-687-5388,toner
Realpoint,Thurstan Hollindale,discovery,Services,6 Esch Parkway,Farmington,MI,48335,481,248-488-9764,general office supplies
Npath,Willi Yaxley,closed,Marketing,7 Talmadge Terrace,Lynchburg,VA,24515,271,434-972-1865,toner
Blogtags,Shani Drei,re-engage,Product Management,34 Bay Park,Roanoke,VA,24004,53,540-970-3241,paper
Eare,Regan Danbye,discovery,Services,3840 Lerdahl Avenue,Wichita Falls,TX,76305,352,940-210-8666,toner
Buzzdog,Isobel Jennick,closed,Marketing,58 Starling Alley,Charlotte,NC,28210,399,704-234-1127,ink
Izio,Elsy Haskayne,closed,Marketing,33 Manufacturers Pass,Brea,CA,92822,289,714-205-3670,ink
Brainbox,Larina Hebblethwaite,re-engage,Business Development,01686 Manufacturers Terrace,Spokane,WA,99205,210,509-150-0119,general office supplies
Tagpad,Merrielle Pisculli,discovery,Research and Development,47 Rieder Parkway,Saint Louis,MO,63136,11,314-622-2689,ink
Meemm,Marlon Pavie,contract,Marketing,01890 Pierstorff Pass,Meridian,MS,39305,453,601-126-6725,ink
Bubbletube,Teresa Mullaney,closed,Product Management,169 Namekagon Alley,Schaumburg,IL,60193,58,312-545-3329,paper
Tagpad,Bryn Penniell,contract,Engineering,6 Sugar Street,Topeka,KS,66622,35,785-452-5777,general office supplies
Realbuzz,Jodie Kimmings,stale,Support,2 Pankratz Court,Fort Worth,TX,76178,189,682-402-6754,ink
Buzzbean,Kristofor Fair,stale,Business Development,722 Lyons Street,Washington,DC,20380,3,202-284-1726,toner
Agimba,Ruddie Branton,stale,Accounting,523 American Ash Way,Washington,DC,20310,342,202-483-0535,paper
Topicblab,Florian Dobbyn,discovery,Business Development,175 Vidon Avenue,Houston,TX,77212,261,713-974-6522,paper
Zoomzone,Dietrich Mutton,contract,Marketing,69629 Westridge Hill,Las Vegas,NV,89155,21,702-556-8705,ink
